年,月,日,小时,分钟,秒,南北纬,纬度,纬度,经度,经度,东西经,
17年,05月,10日,01时,32分,38秒,北纬,40度,47.533分,111度,41.856分,西经,
17年,05月,10日,01时,32分,39秒,北纬,40度,47.532分,111度,41.852分,西经,
17年,05月,10日,01时,32分,39秒,北纬,40度,47.532分,111度,41.852分,西经,
17年,05月,10日,01时,32分,41秒,北纬,40度,47.557分,111度,41.837分,西经,
17年,05月,10日,01时,32分,42秒,北纬,40度,47.563分,111度,41.830分,西经,
17年,05月,10日,01时,32分,43秒,北纬,40度,47.561分,111度,41.826分,西经,
17年,05月,10日,01时,32分,44秒,北纬,40度,47.560分,111度,41.821分,西经,
17年,05月,10日,01时,32分,45秒,北纬,40度,47.559分,111度,41.815分,西经,
17年,05月,10日,01时,32分,46秒,北纬,40度,47.560分,111度,41.810分,西经,
17年,05月,10日,01时,32分,47秒,北纬,40度,47.558分,111度,41.806分,西经,
17年,05月,10日,01时,32分,48秒,北纬,40度,47.558分,111度,41.800分,西经,
17年,05月,10日,01时,32分,49秒,北纬,40度,47.555分,111度,41.796分,西经,
17年,05月,10日,01时,32分,50秒,北纬,40度,47.551分,111度,41.791分,西经,
17年,05月,10日,01时,32分,51秒,北纬,40度,47.549分,111度,41.787分,西经,
17年,05月,10日,01时,32分,52秒,北纬,40度,47.547分,111度,41.783分,西经,
17年,05月,10日,01时,32分,53秒,北纬,40度,47.548分,111度,41.779分,西经,
17年,05月,10日,01时,32分,54秒,北纬,40度,47.547分,111度,41.776分,西经,
17年,05月,10日,01时,32分,55秒,北纬,40度,47.547分,111度,41.771分,西经,
17年,05月,10日,01时,32分,56秒,北纬,40度,47.549分,111度,41.769分,西经,
17年,05月,10日,01时,32分,57秒,北纬,40度,47.552分,111度,41.767分,西经,
17年,05月,10日,01时,32分,58秒,北纬,40度,47.556分,111度,41.766分,西经,
17年,05月,10日,01时,32分,59秒,北纬,40度,47.560分,111度,41.764分,西经,
17年,05月,10日,01时,33分,00秒,北纬,40度,47.565分,111度,41.762分,西经,
17年,05月,10日,01时,33分,01秒,北纬,40度,47.571分,111度,41.759分,西经,
17年,05月,10日,01时,33分,02秒,北纬,40度,47.577分,111度,41.757分,西经,
17年,05月,10日,01时,33分,03秒,北纬,40度,47.583分,111度,41.754分,西经,
17年,05月,10日,01时,33分,04秒,北纬,40度,47.589分,111度,41.751分,西经,
17年,05月,10日,01时,33分,05秒,北纬,40度,47.595分,111度,41.748分,西经,
17年,05月,10日,01时,33分,06秒,北纬,40度,47.601分,111度,41.746分,西经,
17年,05月,10日,01时,33分,07秒,北纬,40度,47.607分,111度,41.743分,西经,
17年,05月,10日,01时,33分,08秒,北纬,40度,47.613分,111度,41.741分,西经,
17年,05月,10日,01时,33分,09秒,北纬,40度,47.618分,111度,41.738分,西经,
17年,05月,10日,01时,33分,10秒,北纬,40度,47.623分,111度,41.737分,西经,
17年,05月,10日,01时,33分,11秒,北纬,40度,47.627分,111度,41.735分,西经,
17年,05月,10日,01时,33分,12秒,北纬,40度,47.631分,111度,41.734分,西经,
17年,05月,10日,01时,33分,13秒,北纬,40度,47.634分,111度,41.733分,西经,
17年,05月,10日,01时,33分,14秒,北纬,40度,47.637分,111度,41.732分,西经,
17年,05月,10日,01时,33分,15秒,北纬,40度,47.639分,111度,41.731分,西经,
17年,05月,10日,01时,33分,16秒,北纬,40度,47.641分,111度,41.730分,西经,
17年,05月,10日,01时,33分,17秒,北纬,40度,47.643分,111度,41.730分,西经,
17年,05月,10日,01时,33分,18秒,北纬,40度,47.645分,111度,41.729分,西经,
17年,05月,10日,01时,33分,19秒,北纬,40度,47.646分,111度,41.728分,西经,
17年,05月,10日,01时,33分,20秒,北纬,40度,47.647分,111度,41.728分,西经,
17年,05月,10日,01时,33分,21秒,北纬,40度,47.648分,111度,41.727分,西经,
17年,05月,10日,01时,33分,22秒,北纬,40度,47.648分,111度,41.727分,西经,
17年,05月,10日,01时,33分,23秒,北纬,40度,47.648分,111度,41.727分,西经,
17年,05月,10日,01时,33分,24秒,北纬,40度,47.648分,111度,41.727分,西经,
17年,05月,10日,01时,33分,25秒,北纬,40度,47.617分,111度,41.721分,西经,
17年,05月,10日,01时,33分,26秒,北纬,40度,47.617分,111度,41.720分,西经,
17年,05月,10日,01时,33分,27秒,北纬,40度,47.617分,111度,41.721分,西经,
17年,05月,10日,01时,33分,28秒,北纬,40度,47.618分,111度,41.722分,西经,
17年,05月,10日,01时,33分,29秒,北纬,40度,47.618分,111度,41.722分,西经,
17年,05月,10日,01时,33分,30秒,北纬,40度,47.618分,111度,41.723分,西经,
17年,05月,10日,01时,33分,31秒,北纬,40度,47.617分,111度,41.726分,西经,
17年,05月,10日,01时,33分,32秒,北纬,40度,47.616分,111度,41.728分,西经,
17年,05月,10日,01时,33分,33秒,北纬,40度,47.617分,111度,41.734分,西经,
17年,05月,10日,01时,33分,34秒,北纬,40度,47.617分,111度,41.736分,西经,
17年,05月,10日,01时,33分,35秒,北纬,40度,47.617分,111度,41.736分,西经,
17年,05月,10日,01时,33分,36秒,北纬,40度,47.618分,111度,41.736分,西经,
17年,05月,10日,01时,33分,37秒,北纬,40度,47.618分,111度,41.736分,西经,
17年,05月,10日,01时,33分,38秒,北纬,40度,47.619分,111度,41.735分,西经,
17年,05月,10日,01时,33分,39秒,北纬,40度,47.620分,111度,41.735分,西经,
17年,05月,10日,01时,33分,40秒,北纬,40度,47.620分,111度,41.735分,西经,
17年,05月,10日,01时,33分,41秒,北纬,40度,47.621分,111度,41.735分,西经,
17年,05月,10日,01时,33分,42秒,北纬,40度,47.621分,111度,41.735分,西经,
17年,05月,10日,01时,33分,43秒,北纬,40度,47.621分,111度,41.735分,西经,
17年,05月,10日,01时,33分,44秒,北纬,40度,47.621分,111度,41.735分,西经,
17年,05月,10日,01时,33分,45秒,北纬,40度,47.621分,111度,41.735分,西经,
17年,05月,10日,01时,33分,46秒,北纬,40度,47.621分,111度,41.735分,西经,
17年,05月,10日,01时,33分,47秒,北纬,40度,47.621分,111度,41.735分,西经,
17年,05月,10日,01时,33分,48秒,北纬,40度,47.621分,111度,41.735分,西经,
17年,05月,10日,01时,33分,49秒,北纬,40度,47.621分,111度,41.735分,西经,
17年,05月,10日,01时,33分,50秒,北纬,40度,47.621分,111度,41.735分,西经,
17年,05月,10日,01时,33分,51秒,北纬,40度,47.621分,111度,41.735分,西经,
17年,05月,10日,01时,33分,52秒,北纬,40度,47.621分,111度,41.735分,西经,
17年,05月,10日,01时,33分,53秒,北纬,40度,47.621分,111度,41.735分,西经,
17年,05月,10日,01时,33分,54秒,北纬,40度,47.621分,111度,41.735分,西经,
17年,05月,10日,01时,33分,55秒,北纬,40度,47.621分,111度,41.735分,西经,
17年,05月,10日,01时,33分,56秒,北纬,40度,47.621分,111度,41.735分,西经,
17年,05月,10日,01时,33分,57秒,北纬,40度,47.621分,111度,41.735分,西经,
17年,05月,10日,01时,33分,58秒,北纬,40度,47.621分,111度,41.735分,西经,
17年,05月,10日,01时,33分,59秒,北纬,40度,47.621分,111度,41.735分,西经,
17年,05月,10日,01时,34分,00秒,北纬,40度,47.621分,111度,41.735分,西经,
17年,05月,10日,01时,34分,01秒,北纬,40度,47.621分,111度,41.735分,西经,
17年,05月,10日,01时,34分,02秒,北纬,40度,47.621分,111度,41.735分,西经,
17年,05月,10日,01时,34分,03秒,北纬,40度,47.621分,111度,41.735分,西经,
17年,05月,10日,01时,34分,04秒,北纬,40度,47.621分,111度,41.735分,西经,
17年,05月,10日,01时,34分,05秒,北纬,40度,47.621分,111度,41.735分,西经,
17年,05月,10日,01时,34分,06秒,北纬,40度,47.621分,111度,41.735分,西经,
17年,05月,10日,01时,34分,07秒,北纬,40度,47.621分,111度,41.735分,西经,
17年,05月,10日,01时,34分,08秒,北纬,40度,47.621分,111度,41.735分,西经,
17年,05月,10日,01时,34分,09秒,北纬,40度,47.622分,111度,41.734分,西经,
17年,05月,10日,01时,34分,10秒,北纬,40度,47.622分,111度,41.734分,西经,
17年,05月,10日,01时,34分,11秒,北纬,40度,47.623分,111度,41.734分,西经,
17年,05月,10日,01时,34分,12秒,北纬,40度,47.623分,111度,41.734分,西经,
